id,band,title,year
5905,10158,Recalibrated Chaos,2012
5906,10159,Unreality,2012
5907,10161,The Waiting Room,2011
5908,10161,Neuronal Corruption,2014
5909,10167,Asphyxia,2008
5910,10169,The Process of Mutilation,2003
5911,10169,Anatomy of Perfect Bestiality,2009
5912,10169,Self Transform from Decayed Flesh,2013
5913,10174,Equilibrium,2006
5914,10176,Future Silence,1999
5915,10177,Consume Your Guts,2016
5916,10178,The Beauty of Reason,2006
5917,10180,Wiscounts of Sastamala,1999
5918,10182,World's Covenant,2002
5919,10183,Ashes Dancer,2016
5920,10186,Soultech,2000
5921,10186,Somewhere in the Grey,2002
5922,10190,The Red in the Sky Is Ours,1992
5923,10190,With Fear I Kiss the Burning Darkness,1993
5924,10190,Terminal Spirit Disease,1994
5925,10190,Slaughter of the Soul,1995
5926,10190,At War with Reality,2014
5927,10196,The Human Burden,2013
5928,10198,Adhesion| Aversion...,2001
5929,10198,Apocalyptic Nature Fury,2006
5930,10202,Images Inward,2005
5931,10204,Spiral of Phenomena,2010
5932,10205,The Gathering Swarm,2016
5933,10206,Resurrection,2010
5934,10206,Lost in Another Dimension,2012
5935,10210,Sound of Atria,2010
5936,10211,Последний рассвет,2015
5937,10213,Revenge of Killer,2015
5938,10214,Echoes of the Rotting,2007
5939,10214,Formed in Disgust,2016
5940,10217,Silent Touch,1998
5941,10217,Triafata,2001
5942,10217,Reconquista,2012
5943,10218,Omega,2015
5944,10219,New Line System,2005
5945,10219,Children of the Fields,2010
5946,10219,Redshift,2012
5947,10223,Concealed,2004
5948,10223,Fragmentary Evidence,2009
5949,10227,Eos,1998
5950,10227,Devotion,2000
5951,10227,Dead Electric Nightmares,2002
5952,10229,Spaces of Hope,2016
5953,10231,Kerusakan Sistem Otak,2003
5954,10232,Cemetery of Necronymph,2011
5955,10232,Arise,2016
5956,10233,Autokannibalistika,2006
5957,10235,Рождённый убивать,2012
5958,10235,Осквернение мёртвых,2016
5959,10239,Remember the Victim,2001
5960,10239,Downfall of Giants,2002
5961,10239,In a Sense,2004
5962,10239,Abandoned Expression,2005
5963,10239,The Awakening of the Sleeping King,2007
5964,10239,Please Deceive Me,2011
5965,10239,Broken Leaves and Haunted Streets,2013
5966,10240,The Shadow of Idols,2005
5967,10241,Message from the Heights of Bottom,2002
5968,10242,Ritualized Murder,2006
5969,10243,Conceived Genetically Perverse,2012
5970,10246,Лики мёртвой зимы,2008
5971,10249,Chronicle,2015
5972,10250,Evolution (Draft),2004
5973,10250,Evolution,2005
5974,10251,Desecrated Paradise,2015
5975,10253,Scenarios of Uncreation,2001
5976,10256,Axis Disrupt,2012
5977,10257,Teutonic Invaders,2013
5978,10257,Voices of Luna,2015
5979,10258,La tierra de los sacrificios,2015
5980,10258,Capítulos de siniestro tragedia,2016
5981,10260,Icon of Sin,1999
5982,10260,Hyperlogical Non-Sense,2004
5983,10262,Ordo ab Chao,2013
5984,10265,Heredando la realidad,2014
5985,10270,The Lilith Complex,2004
5986,10270,Confusion of Tongues,2008
5987,10271,State of Agression,2002
5988,10271,Hatemachine,2007
5989,10271,Grotesque Messiah,2012
5990,10272,The End of Descent,2003
5991,10272,Post Earthquake Age,2006
5992,10273,The Sickness of the Holy Inquisition,2016
5993,10274,Akathisia,2012
5994,10274,Cerberus Millenia,2014
5995,10275,One Bleeding Morning,2001
5996,10276,Dark Fiber,2007
5997,10277,Gateway to Pestilence,2013
5998,10278,Cerebral Wrong Settings,2013
5999,10280,In My Veins,2012
6000,10281,Sublime Brutality,2010
6001,10284,Headless Warrior,2008
6002,10284,Regret of Death,2012
6003,10285,Vehemence: The Cathartic Remnants of Chaos| Virtue and Time,2002
6004,10286,Humanity's Splintered Salvation,2004
6005,10287,Cleansing the Infirm,2008
6006,10294,Barefoot Barnacle,2010
6007,10295,Swine Race,2015
6008,10297,Church of the Damned,2012
6009,10299,The Shape of My Will,2012
6010,10300,Rise of the Lords of Deadly Souls,2014
6011,10301,Bathyal,2001
6012,10302,Failing in Triumph,2003
6013,10302,Banners of Destruction,2016
6014,10304,The Frail Tide,2007
6015,10304,Stone's Reach,2009
6016,10304,Of Breath and Bone,2012
6017,10304,Vessels,2016
6018,10305,Eve of Destruction,2012
6019,10310,Kebiadaban Takkan Pernah Berakhir,2013
6020,10313,Evil Behavior,2012
6021,10314,Smiling at Your Sorrow,2011
6022,10315,Bloodstained Gods,2013
6023,10316,Awake,2012
6024,10317,Faces of Suffering,2016
6025,10320,Perpetual Mockery,1998
6026,10320,Recounts of Disembodiment,2002
6027,10320,Ominous Bloodline,2005
6028,10320,Never to Dawn,2012
6029,10322,Самоубийство грешников ада,2003
6030,10322,Парадигма,2004
6031,10322,Линия жизни,2006
6032,10322,Счастье для всех,2009
6033,10324,Narcobiological Upgrade,2011
6034,10325,Behind Enemy Lines,2008
6035,10326,Nocturnal Beauty of a Dying Land,1997
6036,10326,...of Honesty Forbidden,2000
6037,10326,Rétroviseur,2004
6038,10327,Holy Book of Madness,2006
6039,10330,Massacre of the Living,2008
6040,10330,Kill Yourself,2008
6041,10331,Martyr to Some| Betrayer to All,2013
6042,10335,Bohemian Winter,2003
6043,10336,Expressionist,2008
6044,10338,Enslaved by Fear,2012
6045,10338,The Barren Throne,2014
6046,10342,The Advent of Loss,2007
6047,10343,History.Altar.Ashes,2010
6048,10347,Locusts| Fire and Plumbline,2001
6049,10347,The Murder Wheel,2003
6050,10351,In Memory of Me...,2008
6051,10352,Wasted Dream,2008
6052,10352,Two Minute Silence,2013
6053,10353,Human Nation,2016
6054,10355,Symphony of Dying Cries,1998
6055,10355,Sanctuary in Misery,2002
6056,10355,The Demon Eulogy,2006
6057,10355,Universal Diabolical,2007
6058,10356,Proximity Effect,2012
6059,10356,Dehumanized,2016
6060,10362,Total Control,2001
6061,10362,The End,2008
6062,10363,Descent to Damnation,2005
6063,10363,Escape from Reality,2006
6064,10366,Against the Elements,2002
6065,10366,Insect Song,2004
6066,10367,Pestilence,2014
6067,10368,Swallow the Real,2011
6068,10370,Earth and Sphere,2002
6069,10370,The Resurrection of Everything Tough,2007
6070,10371,Nauseating Truth,2014
6071,10372,Belligerence,2003
6072,10372,Evil Minds,2005
6073,10372,Eternal Pestilence,2006
6074,10373,Within Nowhere,2005
6075,10373,The Colossal Tragedy,2008
6076,10374,Mechanical Race Creation,2011
6077,10388,S.V.E.T.,2010
6078,10390,Peanut Butter Jelly Sandwich,2002
6079,10391,The Coming of the Ineffable,2012
6080,10392,Reign of Depravity,2012
6081,10392,The Culmination Conquest,2015
6082,10400,The Wreckage of Stars,2014
6083,10400,Selves We Cannot Forgive,2016
6084,10401,Broken System| Bring Chaos,2013
6085,10402,Black Eve,2014
6086,10405,Interpersonal Terror,2006
6087,10406,The Symphony of the Ultimate Collapse,2014
6088,10407,Silent Scream,2013
6089,10410,Symptoms of a Common Sickness,2013
6090,10410,In the Embrace of Sorrow| I Smile,2016
6091,10413,Nothing Important Happened Today,2006
6092,10415,En nuestros sueños,2014
6093,10420,Self-Improvement: Suicide,2011
6094,10422,Void,2011
6095,10422,Ideological Carnage,2014
6096,10423,On the Inexistence of God,2008
6097,10423,Ritual Theophagy,2016
6098,10425,Shadowtorned World,2011
6099,10426,Burned in Hell,2003
6100,10429,Female Massacre,2011
6101,10431,Abstract Evolution,2001
6102,10433,Wak'a Atiy Kasu,2010
6103,10434,The Putrid Smell Within,2009
6104,10434,Covered in Flies and Afterbirth,2015
6105,10435,Pure Potenciality,2008
6106,10436,Void of Chaos,2001
6107,10442,One Day Left,2004
6108,10442,Say Everything Will Be Fine,2006
6109,10444,Master of Destiny,2009
6110,10445,Donors,2000
6111,10446,Resurrection of Murder,2008
6112,10446,Condemned to Suffer,2014
6113,10452,Evolution's Crown,2012
6114,10454,Pathogenic Mechanized Abomination,2016
6115,10455,Altruism,2015
6116,10460,Cruel Impeccable Horrific Killer,2009
6117,10461,The Parallax Theory,2010
6118,10463,Symphony of Delusions,2005
6119,10463,The Dividing Line,2012
6120,10464,Morbid Visions,2007
6121,10466,Divine,2003
6122,10466,Bedtime Prayers,2006
6123,10468,Godmachine,2013
6124,10469,Dawning of the Ancients,2011
6125,10469,A Reality in Ruins,2013
6126,10474,Soul of Disease,2011
6127,10475,Virulent Mutualism,2013
6128,10477,I: The Law of Retaliation,2015
6129,10478,Bound to Hate,2013
6130,10480,Feasting the Weak,2002
6131,10480,Ignis Penumbra,2003
6132,10483,Up from the Grave,2002
6133,10485,Festering Fornication,2006
6134,10486,Ravenous Consumption,2005
6135,10490,Bloodhunter,2014
6136,10491,BloodKlot,2012
6137,10492,Frostmourne,2011
6138,10496,Nemesis,2016
6139,10497,Ветер забвения,2012
6140,10497,Ночь скорби,2013
6141,10498,March of the Undead,2005
6142,10499,Brutally Butchered,2007
6143,10499,Sadistic Deeds... Grotesque Memories,2009
6144,10499,The Death of Hope,2011
6145,10501,The Human Parasite,2011
6146,10501,A Poem of Misery,2014
6147,10502,The Coming Storm,2011
6148,10502,Breaking the Pyramid,2015
6149,10504,Obedience,2014
6150,10507,Parasick,2016
6151,10508,Stench of Your Perversions,2001
6152,10510,Unleash Your Wrath,2013
6153,10512,Divine Vermifuge,2015
6154,10516,Tied Up for Butchery,2009
6155,10520,Payback in Brutality,2008
6156,10521,Barbwire Butchery,2010
6157,10523,Suspended in Slaughter,2010
6158,10524,Insights of a Rotten Theatre,2011
6159,10525,Eternal Slaves,2008
6160,10525,Endless Greatness,2010
6161,10525,Two Sides of the Coin,2012
6162,10526,Dead City Tales,2010
6163,10526,From the Ashes,2011
6164,10529,The Last Session of the Dopified Apostles,2016
6165,10530,The Feast,2006
6166,10530,Horoskopus,2008
6167,10530,The Cold Testament,2011
6168,10534,Born from the Ashes,2010
6169,10535,Headless Henchmen,2004
6170,10536,[N]Ascent,2014
6171,10537,Imperfect Breed of Humanity,2009
6172,10538,Born Under Sirius,2012
6173,10539,Крестили = распяли,2008
6174,10539,Reflection in...,2009
6175,10539,The Pnakotic Manuscript,2013
6176,10540,Annihilation of the Generation,2007
6177,10541,Prawo życia,2005
6178,10542,Contra Imperium,2016
6179,10544,Fornicate the Gutted,2002
6180,10547,Necrocannibal Rites,2003
6181,10547,Necrocoital Amputorgy,2010
6182,10547,Debridement,2015
6183,10549,Primordial Uncouth,2011
6184,10558,The Effect...Caffeine,2015
6185,10560,Pendu| trainé par une claie jusqu'à la potence| et mis en quart,2015
6186,10563,Made of Scars,2012
6187,10569,An Overwhelming Sense| One Day,2010
6188,10571,Lullaby to the Moon,2005
6189,10571,Uneveness,2007
6190,10572,Beyond Eternity,2003
6191,10572,Poisoned Reality,2006
6192,10574,End,2009
6193,10575,Instruments of Torture,2000
6194,10575,Festival of Death,2001
6195,10575,Methods of Execution,2004
6196,10576,In Fetters Glacial,2014
6197,10579,The Ultimate Abhorrence,2000
6198,10581,Relentless,2008
6199,10582,The Dreamer's Will,2011
6200,10584,Light the Flame,2014
6201,10584,Shadows Over,2016
6202,10590,Days of Terror,2005
6203,10590,Hell,2007
6204,10591,Intracranial Total Insanity,2005
6205,10591,Death Squad,2010
6206,10591,Cinemurder,2014
6207,10597,Atrocius Hope Culminant in the Abyss,2013
6208,10598,The Duality of Being,2015
6209,10599,To Worship the Endless Insanity,2012
6210,10601,Slachtbeest,2003
6211,10601,Murwgebeukt,2016
6212,10602,Testament of Brutality,2014
6213,10604,Uncut,2000
6214,10604,Sores,2006
6215,10608,Haunting Requiems,2000
6216,10608,On Darker Trails,2001
6217,10608,Fields of Salvation,2003
6218,10608,Death End Road,2007
6219,10608,Follow the Flames,2010
6220,10608,Unchained,2014
6221,10609,Burden of Life,2007
6222,10609,Ashes of Existence,2008
6223,10609,The Vanity Syndrome,2013
6224,10609,In Cycles,2016
6225,10610,The Adventures of Burgul Torkhaïn,2002
6226,10610,Ke-Ptalas (The Talisman of Chaos),2004
6227,10612,Persistence of Thought,2016
6228,10614,Ekpyrosis (Periodic Destruction),2012
6229,10614,Incendium,2013
6230,10614,Unity in Pluralism,2015
6231,10616,Buried by Hate,2012
6232,10617,Beyond Your Mind,1997
6233,10617,Perceptions,2000
6234,10617,Necrosphere,2002
6235,10618,Songs in the Key of Murder,2014
6236,10620,Ruins of Oblivion,2016
6237,10621,Lost,2015
6238,10623,Baptized in Gasoline,2005
6239,10625,As You Burn Within Me,2009
6240,10626,Nefarious Campaign,2011
6241,10627,Scavenger of Light,2015
6242,10628,The Eve of the Entities,1999
6243,10628,Apparition,2001
6244,10631,In Fall She Sleeps,2006
6245,10631,Dawn of Thorns,2007
6246,10631,Blacklisted,2009
6247,10634,Foundation,2002
6248,10635,Lambdroid's Vengeance,2014
6249,10636,Repelled Gift,2015
6250,10637,Bottom Astral,2014
6251,10638,Sociopathic Undergarment: The Metal Album,2005
6252,10642,Dead Lights,2011
6253,10642,A Twisted Sanctuary,2013
6254,10643,Sea of Slut Rot,2012
6255,10644,By Fire,2006
6256,10646,Destroy the Horizon,2008
6257,10648,In Dark Abysses of Memory,2003
6258,10651,Forensic Necrovulvectomy,2001
6259,10654,Murder Death Kill,2013
6260,10658,Fathering the Apocalypse,2007
6261,10659,Remnants of Chaotic Apogee,2015
6262,10660,The Weiliaon Wielder Quest,1995
6263,10660,Whirler of Fate,1997
6264,10660,The Gentle Annihilation of the Enthroned,2004
6265,10660,Destination: Caducity,2009
6266,10661,Beneath Abyss,2015
6267,10668,The Age of Depravity,2013
6268,10669,Quos Deus Vult Perdere Pruis Dementat,2005
6269,10671,Into the Coming Storm,2008
6270,10673,Drift of Empathy,1996
6271,10673,Graceful... yet Forbidding,1999
6272,10673,Flesh_Power_Dominion,2002
6273,10673,My Passion // Your Pain,2003
6274,10673,[Pitch.Black.Effects],2005
6275,10675,Ex...,2000
6276,10676,Cause of Chaos,2012
6277,10682,Sativa Syn,2015
6278,10683,Kill and Destroy,2005
6279,10683,World of Fucking Shit,2011
6280,10684,Record01,2016
6281,10685,Dominant Inhumanity,2013
6282,10686,Serene Catharsis,2006
6283,10686,Will and Perception,2009
6284,10686,Menhir,2010
6285,10687,Deliverance,2014
6286,10690,Birth,2002
6287,10690,Elements,2006
6288,10691,Reality Only Fantasized,1997
6289,10691,Fractured,2005
6290,10697,Hell on Earth,1997
6291,10697,Sideral Torment,1998
6292,10697,Killing Process,2002
6293,10697,E-xtinction,2009
6294,10705,Blood Machine,2008
6295,10705,Display of Hate (Ancestral),2015
6296,10706,True Blasphemy,2002
6297,10709,Liars Made Authority,2015
6298,10710,Carnal Pleasures,2006
6299,10710,Chopping Off the Head,2008
6300,10710,On Top of the Food Chain,2011
6301,10712,Inhuman Devoured Content from Cranial Cavity,2011
6302,10713,Out of Crippled Seeds,2004
6303,10713,Nine Shades of Pain,2006
6304,10714,Whore of Violence,2003
6305,10714,Dawn of the Hatred,2008
6306,10714,The Hate Complete,2012
6307,10717,Carnality,2011
6308,10717,Dystopia,2014
6309,10722,Process of Disorderly Conduct,2016
6310,10727,Necrophile,1997
6311,10727,Under a Bleeding Moon,2001
6312,10728,Grotesque Inhuman Extermination,2015
6313,10730,The Impious Doctrine,2015
6314,10731,Deformed Future//Genetic Nightmare,2008
6315,10731,Monument,2016
6316,10738,ChroNOlogic,2009
6317,10741,Dies Irae,2013
6318,10741,Kyrie Eleison,2016
6319,10743,Evolution of Evil,2016
6320,10744,Come Back to Me,2005
6321,10744,Exposure to the Pain of Suffering,2007
6322,10745,Regarder sans voir,2008
6323,10748,Hierarchies,2015
6324,10750,Anguish,2014
6325,10750,Sin,2015
6326,10757,The Origin,2015
6327,10760,Deus ex Hominis,2012
6328,10761,When Ancient Gods Return,2012
6329,10761,Ancestral : Origin : Celestial,2013
6330,10761,The Seance,2015
6331,10762,Catharsys,2013
6332,10763,Bitter Disdain,1995
6333,10763,Rhyming Life and Death,2014
6334,10765,Shades of Apocalypse,2013
6335,10765,Pillar of Waste,2013
6336,10769,Inter Bella,2008
6337,10771,Sounds of Disembowelment,2010
6338,10772,Bliss,2008
6339,10777,Digital Architecture,2004
6340,10778,Beyond Oblivion,2014
6341,10780,Aurorae,2013
6342,10781,Vein Beneath the Soil,2014
6343,10783,Voluptuously Minced,1996
6344,10783,Puked Genital Purulency,1999
6345,10783,Pseudo Verminal Cadaverium,2003
6346,10783,Reincarnation in Gorextasy,2007
6347,10783,Putrescent Infectious Rabidity,2010
6348,10788,Perverted Surgical Concept,2008
6349,10788,Unique Brute Revival,2010
6350,10788,Eulogium for Incessancy,2014
6351,10791,Uterovaginal Insertion of Extirpated Anomalies,2007
6352,10794,Swallowed by the Apocalypse,2016
6353,10798,Maniacal Miscreation,2010
6354,10799,Good Guys Don't Play Gore n Roll,2015
6355,10799,Corpse Eaters,2016
6356,10800,Violence in Motion,2003
6357,10800,Smashed and Splattered Organs,2005
6358,10800,Impulsive Psychopathic Acts,2010
6359,10800,Idolatry of the Unethical,2014
6360,10801,Inhuman Theory of Chaos,2014
6361,10802,Exempting Reality,2001
6362,10803,Asphyxiating on Excrement,2009
6363,10803,Gonorrhea Nodule Mastication,2012
6364,10804,Cycles of Evisceration,2014
6365,10806,Activated Hybrid Project,2015
6366,10808,Spectral Extravagance,2009
6367,10808,Cosmic Enigma,2013
6368,10809,Alone in the End,2011
6369,10810,Death's Dominion,2007
6370,10812,Shattered Hopes,2005
6371,10813,Beastial Necrophilia,2008
6372,10814,The Masquerade,2005
6373,10814,Unrestrained,2008
6374,10822,Sleep (Is for the Weak),2015
6375,10823,Born in Silence,2009
6376,10824,When Life Leads Us to Death,2015
6377,10827,Regenerated in Obscurity,2013
6378,10829,Existence Through Annihilation,2015
6379,10835,Exist,2010
6380,10839,Alleviation of Pain,2002
6381,10840,Children of Perdition,2015
6382,10841,Repulsive Sonatas,2009
6383,10841,Betray Your Own Kind,2012
6384,10841,Immanent,2016
6385,10842,Dark Frequencies,2008
6386,10842,Scarecrows & Lullabies,2011
6387,10844,Love-Gastronomy,1996
6388,10844,Clorophile?,1999
6389,10845,Prophecies of Annihilation,2011
6390,10848,The Precious Ideal,2012
6391,10849,Resolution,2013
6392,10850,...Got What He Deserved,1996
6393,10850,Cancer Eradication,2013
6394,10855,Nemesis MMIV,2004
6395,10857,Sovereign,2013
6396,10857,Atrophy,2016
6397,10859,Cicada,2011
6398,10860,Beloved in Killing,2010
6399,10860,Suffocated Faith,2016
6400,10861,Interment...,2002
6401,10864,Epidemia,2003
6402,10864,Chaos Sign,2009
6403,10865,Central Tunnel 8,2004
6404,10865,Communicate the Storms,2011
6405,10868,Black Oblivion,2010
6406,10868,Crossing the Line,2014
6407,10869,Shadows of Light,2014
6408,10869,Welcome to War,2016
6409,10875,Abomination in the House of God,1999
6410,10881,Poetic Licence,2002
6411,10881,Nonetheless,2016
6412,10882,Deathless Beauty of the Silence,2006
6413,10882,The Great Excuse to Domination,2011
6414,10889,Putrid Pussy Warehouse,2008
6415,10894,A Darker Kind of Salvation,2008
6416,10903,Switch Dementia,2015
6417,10904,D.ecaying M.atter - O.rganic N.emesis,2009
6418,10904,Eyes World Shut,2012
6419,10906,Vorace,2014
6420,10907,The Infinite Growth Paradigm Verses Finite Resources,2010
6421,10908,The Rite,2011
6422,10909,The Bowels of Chaos,2016
6423,10911,Heirs to Heresy,2014
6424,10912,Cognitive,2014
6425,10912,Deformity,2016
6426,10913,Destino infierno,2011
6427,10913,Portales,2015
6428,10914,These Dreams Are Scaring Me,2012
6429,10916,In Deep Silence,2004
6430,10916,Supernova Overdrive,2007
6431,10916,Doomsday Odyssey,2011
6432,10917,Faces of Exploration,2003
6433,10919,Composting the Masticated,2010
6434,10921,Ready for Gore,2013
6435,10923,Kill the Lights,2008
6436,10925,M.D.K.,2001
6437,10925,Dehumanized,2006
6438,10925,Embedded Coding,2009
6439,10926,Guts,1998
6440,10928,Exigent Cuntlust,2015
6441,10929,Our Constant Struggle,2012
6442,10930,Leak,2007
6443,10930,Phenakism,2011
6444,10931,Abyssies of Anguish,2009
6445,10933,Desecrate the Vile,2007
6446,10933,Realms of the Ungodly,2011
6447,10936,Face the End in the Mirror,2012
6448,10941,Human Embryonic Mutilation,2014
6449,10942,Deformed Siamese Twin Abomination,2013
6450,10943,iBlood,2015
6451,10945,Hells First Born,2016
6452,10948,Conquering Dystopia,2014
6453,10949,Hellspire,2010
6454,10950,The Mantis,2015
6455,10952,Equal Opportunity Destroyer,2007
6456,10954,Raped in the Outhouse,2009
6457,10957,MANipulation,2008
6458,10959,Stormforce,2002
6459,10959,Death from Below,2004
6460,10960,The Secret Around Us,2002
6461,10960,When Angels Begin to Cry,2003
6462,10960,Blasphemy,2009
6463,10961,Entanglement,2015
6464,10962,Continuo Renacer,2005
6465,10962,The Great Escape,2011
6466,10963,The Hypothesis,2015
6467,10966,Polemic,2015
6468,10967,Stille,2008
6469,10967,Charybdis,2012
6470,10968,Against the Fall of Night,1999
6471,10968,Welcome to Dystopia,2006
6472,10971,Muay Thai Ladyboys,2008
6473,10973,糞ったれ人生,2008
6474,10975,Whisper of Dead Light,2010
6475,10976,Reminiscence,2000
6476,10976,The Gates of Oblivion,2004
6477,10976,...a Splendid Chaos,2009
6478,10976,Heterodox,2012
6479,10977,Neptune,2015
6480,10980,Inside the Core,2008
6481,10980,We Are Fenix,2014
6482,10982,Awaking the Winter Sun,2005
6483,10986,Deleuze Edition,2016
6484,10987,Nothing Further Exists,2015
6485,10989,Hell Is Empty| and All the Devils Are Here,2014
6486,10992,Molded from Maccaroni,1999
6487,10995,Love Is in the Air,2013
6488,10995,Power Steve the String Beast and the Gates of Midi,2014
6489,10995,Tales from the Curry​-​Trough| and Other Tales​.​.​.,2014
6490,10996,My Own Mutilated Son,2005
6491,10996,Sick and Dirty Thoughts,2006
6492,10997,Tattooed by a Blowtorch,2013
6493,10998,Splatter Deluxe,2003
6494,10998,War of the Toilet Gear,2005
6495,10998,Zombiefuck,2008
6496,10998,Quel cimitero accanto alla villa,2014
6497,11000,Remains of Flesh,2009
6498,11004,Spiritism,1998
6499,11004,With Lewd Demeanor,2003
6500,11004,A New Species of Deviant,2007
6501,11004,Fleshcraft,2013
6502,11005,A Call to History's Hero,1999
6503,11005,In Six Parts,2000
6504,11005,The Chinese Have Many Hells,2003
6505,11005,American Ragnarok,2011
6506,11006,Plutonian Shores,1998
6507,11009,Iniquitous,2016
6508,11010,8 Years Limit,2007
6509,11011,Cosecha lágrimas,2013
6510,11014,Sacrificial,2015
6511,11015,The Suggestion of the Last Days,2013
6512,11016,Revealing Damnation,2002
6513,11016,Deciphering the Soul,2004
6514,11017,Within the Hands of Death,2006
6515,11018,New Dawn,2016
6516,11021,D.I.T.P.T.W.P.,2006
6517,11033,Victim of Wicked Sickness,2011
6518,11034,Titisan Salib Tuhan,2013
6519,11035,Twisted Tales of Putridity,2013
6520,11036,It's Not Cut Out - It Can't Be Eaten,2003
6521,11036,Cut a Piece for Your Hunger,2005
6522,11036,Catharsis,2009
6523,11036,Supply of Flesh Came Just in Time,2013
6524,11036,Overgorged Flesh Flies Dying Slowly,2015
6525,11037,Rotten in Nocturnal Aggression,2001
6526,11037,Perintah Dunia Baru,2012
6527,11039,Singularity,2014
6528,11041,Cerebral Disruption,2012
6529,11042,Juicio a la conciencia,2015
6530,11044,Earth,1995
6531,11044,Construct - Destroy - Rebuild,1996
6532,11048,Patchwork of Realities,2010
6533,11050,Shadows,1993
6534,11050,Chiaroscuro,1995
6535,11052,Hallucinosis,2016
6536,11055,Bloodluster,2008
6537,11055,Demolition Overdose,2013
6538,11061,A Psychopathic Murder,2002
6539,11062,The Beast Within,2006
6540,11063,The Violence of the Slams,2015
6541,11064,Draconian Winter,2014
6542,11065,Pyramid Slaves,2014
6543,11067,Ataraxia,2009
6544,11068,Capitalist Destroyer,2015
6545,11070,Technology,2004
6546,11070,Death Is Essential,2006
6547,11072,Bad Song,2005
6548,11073,Denied,2014
6549,11074,The Milky Way,2010
6550,11077,Fragile,2008
6551,11078,Balls of Steel,2011
6552,11081,Crime of the Century,2014
6553,11082,Brutality of Human Cannibalism,2016
6554,11084,Today I Will Deceive You,2006
6555,11085,The God We Drowned,2008
6556,11085,The Wretched Eidola,2011
6557,11085,Come Forth Plague,2013
6558,11085,Prophet's Breath,2015
6559,11087,Spiral of Violence,2004
6560,11087,Dead Soil,2009
6561,11090,The Burning,1995
6562,11090,Eternal Death,1997
6563,11094,My Dark Angel,2007
6564,11094,Blood,2008
6565,11100,Threnody of the Crucifix,2008
6566,11106,Resilience,2008
6567,11108,Ego Sum Deus,2009
6568,11109,Crutch,1998
6569,11109,...Hope Prevails,2001
6570,11115,Premonition,2005
6571,11115,Continuum,2013
6572,11118,Veils of Psychotic Chaos,2003
6573,11118,Perception of Light,2007
6574,11123,...and Another Kingdom Was Born...,1996
6575,11123,Rozelowe,1998
6576,11123,Retrospect 2000,1999
6577,11128,...Retribution Comes,2002
6578,11128,Access Denied,2007
6579,11130,Confection of Morbidity,2013
6580,11132,Тьма и свет,2012
6581,11133,Watch Us Deteriorate,2007
6582,11133,Persistence,2010
6583,11136,Cuff Em' All,2008
6584,11136,Covered in Resin,2009
6585,11136,The Durtyshwa Massacre,2009
6586,11136,Universal Punishment,2009
6587,11136,The Process of Decay,2010
6588,11136,Forced Human Sacrifice to the New Gods of Earth,2013
6589,11136,Transient Suffering Through the Ergosphere,2014
6590,11137,Be Careful What You Wish For...,2001
6591,11138,Cenizas,2012
6592,11139,Cumplete,2002
6593,11140,...the Day of Judgement,2000
6594,11140,Escaped from Madhouse,2002
6595,11140,Reign Is Continued,2003
6596,11140,Funny Games,2006
6597,11143,Thrush Bang Mania,2007
6598,11143,Papsmear Campaign,2009
6599,11146,Black Majesty,2015
6600,11149,Torture Is Medicine,2007
6601,11149,Cause the Apocalypse,2010
6602,11149,Dying in Pieces,2013
6603,11151,Shoutout to Satan,2005
6604,11152,Sapphire Season,1996
6605,11155,Hammersmith,2012
6606,11156,Ultracosmos,2007
6607,11156,Lightmare,2009
6608,11156,Impermanence,2013
6609,11157,Pure Hate,2003
6610,11157,Art of Pain,2006
6611,11157,Act of Aggression,2009
6612,11158,Innocent,2008
6613,11158,Take the Consequence,2010
6614,11158,Identity,2016
6615,11160,Culture of Death,2012
6616,11160,Homicidal Suicide,2016
6617,11162,Silent Echoes,2009
6618,11162,Moderate Album,2014
6619,11167,Tales of the Mad King,2013
6620,11167,The Awakening,2014
6621,11168,Do Not Open,2006
6622,11169,Anything to Add ?,2004
6623,11169,...from Birth,2004
6624,11169,Oppressed/Deformed,2006
6625,11171,Inertia,2014
6626,11172,Daemon Pyre,2015
6627,11175,Suffering upon the Throne of Depravity,2009
6628,11177,Passageways to Daena (The Concomitant Blessings of Putrescing Impurity),2015
6629,11178,No Need to Breathe,2006
6630,11178,Reborn,2008
6631,11180,Damascus,2006
6632,11181,Fist Fuck the World,1995
6633,11182,Link,2000
6634,11184,The Wakening,2013
6635,11185,Son ov the Dawn,2015
6636,11186,Damnesia,2008
6637,11187,Moontower,1998
6638,11189,War Is Beginning,2013
6639,11191,Spirit Black Heretic,2010
6640,11191,Purgatorium,2012
6641,11191,Bastardistan,2014
6642,11192,Pictures from the Past,2012
6643,11192,Doomed to Fight,2013
6644,11197,From Death... to Inception,2006
6645,11203,Selenia,2011
6646,11204,Still Liberty,2004
6647,11204,The Dead Lines,2006
6648,11204,Inverno,2014
6649,11205,Fallout,2010
6650,11206,Our Souls Are Tired,2016
6651,11209,Ad Extremum Epilogue,2014
6652,11210,When Fire Engulfs the Earth,2016
6653,11213,Bärgthron,2010
6654,11213,Der letzte Weg,2013
6655,11217,Skydancer,1993
6656,11217,The Gallery,1995
6657,11217,The Mind's I,1997
6658,11217,Projector,1999
6659,11217,Haven,2000
6660,11217,Damage Done,2002
6661,11217,Character,2005
6662,11217,Fiction,2007
